title,projectname,builder,price,per_sqft,area,status,place
2  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,6931000,"5,800 / sq ft",1195,Under Construction,Jeedimetla
3  BHK  Apartment,Cybercity Westbrook,Cyber City Oriana,14600000,"7,499 / sq ft",1950,Under Construction,Kokapet
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,15000000,"6,899 / sq ft",2180,Under Construction,Attapur
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,12000000,"6,899 / sq ft",1750,Under Construction,Attapur
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10800000,"6,200 / sq ft",1750,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10600000,"6,200 / sq ft",1718,Ready to move,Manikonda
3  BHK  Apartment,Engineers Sri Tirumala Millennium Phase III,EAPL Group,10900000,"4,999 / sq ft",2187,Under Construction,Mallapur
2  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,9216000,"6,400 / sq ft",1440,Under Construction,Manikonda
3  BHK  Apartment,Vajra The Royal Park,Vajra Builders And Developers,6447000,"4,200 / sq ft",1535,Under Construction,Bowrampet
2  BHK  Apartment,Sterling Orchids,Sterling Homes PvtLtd,6454000,"4,799 / sq ft",1345,Under Construction,Mallampet
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11500000,"6,400 / sq ft",1803,Under Construction,Manikonda
2  BHK  Apartment,Srija Twin Towers,Srija Infra Developers Hyderabad,5985000,"4,800 / sq ft",1247,Under Construction,Dammaiguda
Residential Plot,IRA Aerocity,Ira Reality,36900000,"5,000 / sq ft",7384,New,Shamshabad
3  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,10900000,"6,350 / sq ft",1732,Under Construction,Manikonda
3  BHK  Apartment,Candeur Crescent,Candeur Developers And Builders,21100000,"7,944 / sq ft",2656,Under Construction,Serilingampally
2  BHK  Apartment,Signature Altius,Signature Avenues,6923000,"4,999 / sq ft",1385,Under Construction,Kollur
4  BHK  Villa,NR Infra Ultimus,NR Infra Projects,12400000,"4,999 / sq ft",2500,Ready to move,Rameswaram Banda
2  BHK  Apartment,Namishree BPS Twin Towers,Namishree Infrastructure And Project Pvt Ltd,6090000,"5,800 / sq ft",1050,Under Construction,Saidabad
2  BHK  Apartment,,seller,5462000,"4,800 / sq ft",1138,Under Construction,Tukkuguda
Residential Plot,Haripriya Orange County,Haripriya Developers,3600000,"2,000 / sq ft",1800,New,Sangareddy
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10900000,"5,500 / sq ft",1990,Under Construction,Jeedimetla
4  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,17500000,"5,800 / sq ft",3030,Under Construction,Jeedimetla
2  BHK  Apartment,Cybercity Westbrook,Cyber City Oriana,8064000,"7,501 / sq ft",1075,Under Construction,Kokapet
3  BHK  Apartment,Shree GNR Vasavi Nirvana,Shree Vasavi Developers,15500000,"6,899 / sq ft",2260,Under Construction,Attapur
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10800000,"6,200 / sq ft",1750,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10700000,"6,200 / sq ft",1730,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,10700000,"6,200 / sq ft",1730,Ready to move,Manikonda
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6597000,"5,299 / sq ft",1245,Under Construction,Kompally
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11600000,"6,400 / sq ft",1821,Under Construction,Manikonda
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11800000,"6,400 / sq ft",1847,Under Construction,Manikonda
2  BHK  Apartment,Sterling Grandeur,Sterling Homes PvtLtd,6718000,"6,250 / sq ft",1075,Under Construction,Bachupally
3  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,8758000,"5,800 / sq ft",1510,Under Construction,Jeedimetla
